Date;Age;Sex;Deaths
2007-01-19;10-19;Female;0
2007-01-19;10-19;Male;0
2007-01-19;20-29;Female;0
2007-01-19;20-29;Male;1
2007-01-19;30-39;Female;0
2007-01-19;30-39;Male;2
2007-01-19;40-49;Female;0
2007-01-19;40-49;Male;8
2007-01-19;50-59;Female;6
2007-01-19;50-59;Male;5
2007-01-19;60-69;Female;13
2007-01-19;60-69;Male;11
2007-01-19;70-79;Female;17
2007-01-19;70-79;Male;23
2007-01-19;80-89;Female;31
2007-01-19;80-89;Male;20
2007-01-19;90+;Female;17
2007-01-19;90+;Male;7
2007-01-20;0-9;Female;1
2007-01-20;0-9;Male;0
2007-01-20;10-19;Female;0
2007-01-20;10-19;Male;0
2007-01-20;20-29;Female;1
2007-01-20;20-29;Male;0
2007-01-20;30-39;Female;0
2007-01-20;30-39;Male;1
2007-01-20;40-49;Female;1
2007-01-20;40-49;Male;0
2007-01-20;50-59;Female;2
2007-01-20;50-59;Male;11
2007-01-20;60-69;Female;8
2007-01-20;60-69;Male;12
2007-01-20;70-79;Female;10
2007-01-20;70-79;Male;24
2007-01-20;80-89;Female;27
2007-01-20;80-89;Male;24
2007-01-20;90+;Female;17
2007-01-20;90+;Male;8
2007-01-21;0-9;Female;0
2007-01-21;0-9;Male;0
2007-01-21;10-19;Female;0
2007-01-21;10-19;Male;0
2007-01-21;20-29;Female;0
2007-01-21;20-29;Male;0
2007-01-21;30-39;Female;1
2007-01-21;30-39;Male;1
2007-01-21;40-49;Female;2
2007-01-21;40-49;Male;1
2007-01-21;50-59;Female;4
2007-01-21;50-59;Male;8
2007-01-21;60-69;Female;12
2007-01-21;60-69;Male;10
2007-01-21;70-79;Female;16
2007-01-21;70-79;Male;15
2007-01-21;80-89;Female;28
2007-01-21;80-89;Male;16
2007-01-21;90+;Female;19
2007-01-21;90+;Male;5
2007-01-22;0-9;Female;0
2007-01-22;0-9;Male;0
2007-01-22;10-19;Female;0
2007-01-22;10-19;Male;0
2007-01-22;20-29;Female;1
2007-01-22;20-29;Male;0
2007-01-22;30-39;Female;0
2007-01-22;30-39;Male;0
2007-01-22;40-49;Female;3
2007-01-22;40-49;Male;3
2007-01-22;50-59;Female;2
2007-01-22;50-59;Male;5
2007-01-22;60-69;Female;6
2007-01-22;60-69;Male;17
2007-01-22;70-79;Female;18
2007-01-22;70-79;Male;17
2007-01-22;80-89;Female;23
2007-01-22;80-89;Male;26
2007-01-22;90+;Female;15
2007-01-22;90+;Male;8
2007-01-23;0-9;Female;0
2007-01-23;0-9;Male;0
2007-01-23;10-19;Female;1
2007-01-23;10-19;Male;0
2007-01-23;20-29;Female;0
2007-01-23;20-29;Male;0
2007-01-23;30-39;Female;1
2007-01-23;30-39;Male;3
2007-01-23;40-49;Female;2
2007-01-23;40-49;Male;1
2007-01-23;50-59;Female;1
2007-01-23;50-59;Male;7
2007-01-23;60-69;Female;8
2007-01-23;60-69;Male;11
2007-01-23;70-79;Female;14
2007-01-23;70-79;Male;14
2007-01-23;80-89;Female;31
2007-01-23;80-89;Male;16
2007-01-23;90+;Female;19
2007-01-23;90+;Male;2
2007-01-24;0-9;Female;0
2007-01-24;0-9;Male;0
2007-01-24;10-19;Female;0
2007-01-24;10-19;Male;0
2007-01-24;20-29;Female;1
2007-01-24;20-29;Male;0
2007-01-24;30-39;Female;0
2007-01-24;30-39;Male;0
2007-01-24;40-49;Female;6
2007-01-24;40-49;Male;3
2007-01-24;50-59;Female;1
2007-01-24;50-59;Male;5
2007-01-24;60-69;Female;11
2007-01-24;60-69;Male;11
2007-01-24;70-79;Female;18
2007-01-24;70-79;Male;16
2007-01-24;80-89;Female;25
2007-01-24;80-89;Male;19
2007-01-24;90+;Female;11
2007-01-24;90+;Male;9
2007-01-25;0-9;Female;0
2007-01-25;0-9;Male;0
2007-01-25;10-19;Female;0
2007-01-25;10-19;Male;0
2007-01-25;20-29;Female;0
2007-01-25;20-29;Male;1
2007-01-25;30-39;Female;1
